No,Name,Year,Team,Position,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,WPA,Salary
112,조성환,2000,롯,2B,57,106,93,15,21,3,0,1,27,4,5,1,9,2,0,17,0,1,1,.226,.305,.290,.595,.279,58.8,0.11,,"2,200"
115,김승권,2000,한,,58,90,85,12,22,10,0,1,35,12,0,0,2,0,0,17,1,3,0,.259,.276,.412,.688,.293,68.8,0.10,,"2,200"
116,김상호,2000,S,,3,9,8,1,2,0,0,1,5,2,0,0,1,0,0,1,0,0,0,.250,.333,.625,.958,.401,140.2,0.09,,"1,700"
117,정영규,2000,L,1B,29,36,33,3,10,1,0,1,14,6,0,0,1,1,0,8,0,0,1,.303,.333,.424,.758,.337,97.5,0.08,,"3,800"
118,허준,2000,한,SS,130,307,277,38,64,11,0,6,93,38,1,0,17,1,1,46,10,9,3,.231,.275,.336,.611,.267,51.9,0.08,,"3,000"
119,장정석,2000,현,2B,39,38,34,5,7,3,0,1,13,5,2,1,2,2,0,8,1,0,0,.206,.290,.382,.672,.303,74.1,0.08,,"3,200"
120,황윤성,2000,현,1B,23,60,52,9,11,5,1,1,21,5,1,0,4,3,0,18,0,0,1,.212,.300,.404,.704,.313,80.9,0.07,,"1,800"
121,김기환,2000,해,,4,11,11,2,3,0,0,1,6,4,0,0,0,0,0,5,0,0,0,.273,.273,.545,.818,.347,104.0,0.06,,"1,500"
122,조재영,2000,L,,3,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,.500,.500,1.000,1.500,.637,305.9,0.06,,"1,800"
124,이광우,2000,두,P,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,.930,509.1,0.05,,"6,500"
125,김필중,2000,현,C,18,5,5,1,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,.400,.400,.400,.800,.372,121.3,0.05,,"1,600"
,장영균,2000,삼,,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,.000,.000,.000,.000,.000,,0.02,,"1,800"
129,손차훈,2000,S,3B,79,226,207,26,50,13,0,1,66,13,3,1,12,2,0,25,3,4,1,.242,.288,.319,.607,.275,56.1,0.02,,"3,000"
130,강동우,2000,삼,CF,13,28,20,3,2,0,0,0,2,0,1,0,8,0,0,5,0,0,0,.100,.357,.100,.457,.273,55.5,0.02,,"3,500"
134,유필선,2000,롯,,19,38,31,6,5,1,1,0,8,2,1,1,4,3,0,13,0,0,0,.161,.316,.258,.574,.284,62.1,0.01,,"3,000"
135,김일경,2000,현,,16,32,31,6,8,1,0,1,12,1,1,0,0,0,0,11,0,1,0,.258,.258,.387,.645,.275,55.0,0.01,,"2,000"
138,안희봉,2000,현,1B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.00,,"1,800"
140,염경엽,2000,현,2B,84,26,23,13,6,1,0,0,7,1,10,2,0,0,0,3,1,3,0,.261,.261,.304,.565,.228,22.4,0.00,,"3,800"
141,오규택,2000,한,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"1,500"
,강필선,2000,현,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"2,000"
144,전형도,2000,두,,10,3,2,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000,.333,.000,.333,.241,30.5,-0.01,,"3,100"
145,김인철,2000,삼,RF,43,96,87,20,19,1,2,3,33,13,5,2,5,2,0,21,2,2,0,.218,.277,.379,.656,.287,64.5,-0.02,,"1,800"
146,오봉옥,2000,해,P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-126.5,-0.02,,"6,500"
,이대진,2000,해,P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-126.5,-0.02,,"5,500"
150,강규철,2000,두,,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-136.8,-0.02,,"1,900"
151,임학수,2000,삼,,16,8,7,1,2,0,0,0,2,1,0,0,0,0,0,3,0,1,0,.286,.286,.286,.571,.232,29.0,-0.03,,"1,500"
153,최만호,2000,현,,19,23,20,4,5,0,0,0,5,2,0,0,2,0,0,7,0,1,0,.250,.318,.250,.568,.265,47.9,-0.03,,"2,200"
154,정원배,2000,S,C,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-127.8,-0.04,,"2,300"
155,이종민,2000,두,2B,98,132,119,12,27,4,0,1,34,9,4,0,11,0,0,18,6,1,1,.227,.290,.286,.576,.269,49.8,-0.04,,"3,400"
156,박재용,2000,S,RF,6,13,11,1,2,0,0,0,2,2,0,0,1,1,0,4,0,0,0,.182,.308,.182,.490,.256,43.6,-0.04,,"5,000"
158,윤재국,2000,S,LF,125,381,344,43,95,14,3,2,121,30,7,2,18,0,0,63,3,17,2,.276,.310,.352,.662,.289,65.5,-0.05,,"3,300"
160,정수성,2000,현,CF,12,16,16,1,4,0,0,0,4,1,2,1,0,0,0,6,0,0,0,.250,.250,.250,.500,.232,25.5,-0.06,,"1,900"
161,김지영,2000,해,C,19,23,21,2,4,2,0,0,6,1,0,0,1,0,0,8,1,1,0,.190,.227,.286,.513,.223,21.8,-0.06,,"2,400"
163,허문회,2000,L,1B,6,10,10,1,2,1,0,0,3,3,0,0,0,0,0,1,0,0,0,.200,.200,.300,.500,.220,16.5,-0.07,,"5,000"
164,손지환,2000,L,,54,70,63,12,15,4,0,0,19,5,2,1,4,1,0,4,3,2,0,.238,.294,.302,.596,.271,51.5,-0.07,,"2,500"
165,조효상,2000,한,,16,13,11,0,2,0,0,0,2,0,0,0,1,0,0,6,0,1,0,.182,.250,.182,.432,.199,7.1,-0.09,,"2,100"
166,장용대,2000,S,,9,14,14,1,3,0,0,0,3,1,0,0,0,0,0,6,0,0,0,.214,.214,.214,.429,.199,5.3,-0.09,,"3,200"
167,이동욱,2000,롯,,22,33,32,2,5,2,0,2,13,5,0,0,1,0,0,5,0,0,0,.156,.182,.406,.588,.246,36.6,-0.10,,"2,000"
168,윤상무,2000,두,,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,-136.8,-0.10,,"1,800"
169,조유신,2000,롯,3B,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,.000,.000,.000,.000,.000,-127.6,-0.11,,"1,800"
170,송구홍,2000,L,3B,11,22,21,2,4,1,0,0,5,0,0,0,0,1,0,5,2,0,0,.190,.227,.238,.465,.219,15.4,-0.11,,"4,700"
171,최경환,2000,L,RF,95,153,142,12,35,4,1,3,50,13,1,0,9,0,1,28,3,0,2,.246,.288,.352,.640,.286,61.8,-0.14,,"4,000"
172,김수연,2000,한,LF,52,45,44,10,12,0,0,0,12,3,4,3,1,0,0,13,0,0,0,.273,.289,.273,.562,.264,49.8,-0.15,,"1,500"
173,김경진,2000,해,LF,16,21,20,0,4,1,0,0,5,1,1,0,0,0,0,6,1,1,0,.200,.200,.250,.450,.194,2.1,-0.16,,"1,800"
175,한규식,2000,롯,,57,93,80,13,18,5,1,0,25,5,0,0,6,0,0,14,2,7,0,.225,.279,.313,.592,.252,40.8,-0.20,,"1,800"
177,김종헌,2000,S,LF,96,143,128,27,28,5,1,1,38,10,7,3,13,0,0,29,2,2,0,.219,.291,.297,.588,.272,53.7,-0.22,,"5,500"
178,김태형,2000,두,C,24,23,23,0,4,0,0,0,4,2,0,1,0,0,0,5,3,0,0,.174,.174,.174,.348,.162,-24.5,-0.23,,"5,100"
180,장광호,2000,S,C,12,23,22,0,3,0,0,0,3,3,0,0,0,0,0,6,1,0,1,.136,.130,.136,.267,.121,-46.8,-0.26,,"5,000"
181,임재철,2000,롯,CF,40,68,59,11,8,1,0,1,12,3,1,0,8,1,0,19,3,0,0,.136,.250,.203,.453,.226,23.0,-0.26,,"2,700"
182,이계성,2000,삼,LF,67,146,136,19,32,5,1,2,45,16,2,1,7,0,0,36,2,3,0,.235,.273,.331,.604,.269,52.8,-0.28,,"2,100"
184,신경현,2000,한,C,37,77,71,4,11,2,0,2,19,5,0,1,5,0,0,22,3,1,0,.155,.211,.268,.478,.215,18.1,-0.29,,"2,100"
185,김선진,2000,L,1B,25,78,69,9,14,2,1,1,21,10,1,1,7,0,0,14,0,1,1,.203,.273,.304,.577,.262,45.4,-0.30,,"5,300"
186,김상호,2000,L,RF,21,41,31,4,2,1,0,0,3,2,0,0,9,0,0,14,0,1,0,.065,.275,.097,.372,.212,10.8,-0.30,,"7,500"
188,김선섭,2000,S,,35,22,20,6,1,1,0,0,2,1,0,1,1,1,0,8,1,0,0,.050,.136,.100,.236,.125,-44.3,-0.32,,"2,200"
189,심성보,2000,S,,20,49,46,5,7,2,1,0,11,2,0,1,2,1,0,14,3,0,0,.152,.204,.239,.443,.205,9.3,-0.34,,"7,100"
191,김수관,2000,삼,,30,54,49,2,8,0,0,1,11,5,0,1,3,1,0,15,2,1,0,.163,.226,.224,.451,.211,14.8,-0.35,,"2,200"
192,공필성,2000,롯,3B,112,177,149,16,31,4,1,1,40,13,4,2,17,0,0,44,5,10,1,.208,.287,.268,.556,.250,39.0,-0.37,,"7,500"
194,강성우,2000,롯,C,51,87,78,5,15,0,0,0,15,3,0,0,4,1,0,11,2,4,0,.192,.241,.192,.433,.202,7.4,-0.39,,"5,300"
195,신국환,2000,한,2B,37,73,62,4,9,0,0,1,12,4,0,0,6,2,0,17,1,2,1,.145,.239,.194,.433,.209,13.7,-0.39,,"4,500"
197,박종일,2000,롯,,106,74,64,10,10,0,1,0,12,4,2,1,6,2,1,15,2,1,1,.156,.247,.188,.434,.206,10.2,-0.43,,"3,500"
198,조원우,2000,S,LF,29,88,77,5,17,0,0,1,20,10,0,1,6,0,0,13,4,2,3,.221,.267,.260,.527,.241,32.9,-0.47,,"8,000"
199,이우석,2000,해,,41,79,72,11,12,1,0,0,13,0,2,2,7,0,0,15,1,0,0,.167,.241,.181,.421,.210,12.8,-0.49,,"1,800"
200,최훈재,2000,두,1B,76,124,115,9,22,4,1,3,37,10,0,0,7,1,0,22,4,0,1,.191,.242,.322,.564,.253,39.0,-0.58,,"7,400"
201,김태룡,2000,해,2B,65,146,129,13,20,5,0,4,37,12,3,0,6,2,0,29,2,9,0,.155,.204,.287,.491,.207,11.3,-0.73,,"3,300"
202,정성훈,2000,해,DH,119,499,457,50,119,21,3,1,149,37,10,4,25,3,0,55,7,12,2,.260,.302,.326,.628,.283,61.5,-1.23,,"4,000"
2,심재학,2001,두,RF,117,469,369,83,127,20,1,24,221,88,7,1,86,7,8,50,6,4,3,.344,.473,.599,1.072,.466,179.5,6.41,,"11,500"
5,이승엽,2001,삼,1B,127,574,463,101,128,31,2,39,280,95,4,2,96,12,11,130,6,1,2,.276,.412,.605,1.017,.434,155.1,5.52,,"30,000"
6,박경완,2001,현,C,130,528,421,66,108,13,1,24,195,81,21,8,91,7,2,121,9,6,3,.257,.395,.463,.858,.385,123.7,5.32,,"23,000"
7,장성호,2001,해,1B,133,591,489,86,152,32,4,23,261,97,6,4,90,6,5,53,11,3,3,.311,.422,.534,.956,.423,148.3,5.16,,"10,000"
9,정수근,2001,두,CF,122,546,467,95,143,21,9,2,188,53,52,11,71,1,1,51,8,2,5,.306,.395,.403,.798,.372,115.2,4.85,,"13,500"
10,양준혁,2001,L,DH,124,531,439,79,156,20,3,14,224,92,12,5,80,1,4,55,9,2,8,.355,.449,.510,.959,.431,155.7,4.79,,"27,000"
11,유지현,2001,L,SS,129,580,448,90,127,26,2,9,184,53,21,7,96,3,0,59,13,30,3,.283,.411,.411,.822,.366,111.5,4.62,,"20,000"
12,이병규,2001,L,CF,133,607,542,107,167,30,4,12,241,83,24,8,54,4,6,69,10,4,3,.308,.373,.445,.818,.368,112.8,4.55,,"20,000"
13,김재현,2001,L,RF,126,534,428,81,139,29,1,8,194,61,10,8,88,6,1,83,9,8,4,.325,.443,.453,.896,.411,141.6,4.52,,"18,000"
14,마해영,2001,삼,DH,133,547,470,86,154,18,0,30,262,95,1,1,68,5,3,82,13,0,4,.328,.415,.557,.972,.430,152.4,4.43,,"15,000"
17,조경환,2001,롯,RF,120,497,433,65,131,33,0,26,242,102,2,0,47,8,2,109,6,3,6,.303,.377,.559,.935,.406,137.5,4.08,,"7,200"
18,박진만,2001,현,SS,122,449,383,72,115,13,0,22,194,63,9,6,47,4,0,65,13,12,3,.300,.380,.507,.886,.386,124.1,3.98,,"10,500"
19,박현승,2001,롯,3B,123,521,427,76,123,21,4,5,167,53,15,6,72,13,1,68,5,6,3,.288,.404,.391,.795,.372,115.0,3.97,,"7,000"
20,안경현,2001,두,2B,131,539,457,68,129,31,1,17,213,87,4,1,54,13,1,51,17,7,8,.282,.368,.466,.835,.371,114.6,3.82,,"8,000"
21,심정수,2001,현,RF,107,453,381,67,112,19,1,18,187,70,8,2,60,11,4,75,11,0,1,.294,.404,.491,.895,.403,135.7,3.71,,"16,000"
22,전준호,2001,현,LF,125,490,400,85,130,18,6,4,172,35,27,15,65,8,1,51,5,13,4,.325,.426,.430,.856,.389,126.5,3.55,,"13,000"
22,전준호,2001,현,LF,125,490,400,85,130,18,6,4,172,35,27,15,65,8,1,51,5,13,4,.325,.426,.430,.856,.389,126.5,3.55,,"4,100"
23,김한수,2001,삼,3B,117,478,427,59,133,29,2,13,205,61,3,2,28,13,3,57,11,2,8,.311,.366,.480,.846,.376,117.1,3.51,,"10,000"
24,홍세완,2001,해,SS,133,508,451,60,132,24,1,14,200,72,8,2,43,3,2,62,14,5,6,.293,.354,.443,.797,.356,104.6,3.49,,"2,400"
25,최기문,2001,롯,C,127,451,385,54,117,16,2,7,158,47,8,5,40,7,1,52,6,14,5,.304,.375,.410,.786,.352,101.9,3.26,,"6,300"
26,이영우,2001,한,LF,126,448,381,72,109,25,3,15,185,65,10,3,62,0,4,70,8,4,1,.286,.385,.486,.871,.386,123.6,3.12,,"10,500"
28,진갑용,2001,삼,C,89,349,314,54,96,25,2,7,146,57,2,3,23,7,2,37,4,0,5,.306,.361,.465,.826,.370,113.7,2.98,,"7,000"
32,김동주,2001,두,DH,103,421,364,49,118,18,0,18,190,62,2,2,47,4,5,57,10,0,6,.324,.401,.522,.923,.409,140.4,2.76,,"12,500"
33,김종석,2001,한,DH,116,445,390,66,123,22,2,16,197,65,4,1,49,1,1,78,9,0,5,.315,.389,.505,.894,.400,132.2,2.70,,"5,000"
34,이종범,2001,해,3B,45,214,188,45,64,14,1,11,113,37,7,5,20,1,0,16,5,2,3,.340,.401,.601,1.002,.433,154.8,2.54,,"35,000"
35,신동주,2001,해,CF,116,435,387,64,110,24,1,11,169,52,13,8,33,10,3,58,5,1,4,.284,.353,.437,.789,.356,104.3,2.53,,"7,000"
37,이숭용,2001,현,1B,124,496,430,53,129,29,1,10,190,64,4,0,47,9,2,47,5,6,4,.300,.378,.442,.819,.370,113.6,2.32,,"10,500"
38,송지만,2001,한,RF,108,391,344,55,98,19,0,22,183,69,5,6,36,4,4,69,9,4,3,.285,.357,.532,.889,.383,121.3,2.24,,"11,600"
39,박재홍,2001,현,DH,127,570,489,75,139,20,3,18,219,80,7,7,74,2,2,86,12,0,5,.284,.377,.448,.825,.375,117.1,2.18,,"22,000"
40,김종국,2001,해,2B,101,416,361,63,103,15,3,4,136,25,21,12,40,5,0,56,5,7,3,.285,.362,.377,.739,.341,94.4,1.99,,"3,900"
43,김주찬,2001,롯,1B,86,333,300,57,94,21,4,4,135,31,29,8,24,2,0,56,7,2,5,.313,.363,.450,.813,.366,111.1,1.81,,"2,300"
44,홍성흔,2001,두,C,122,452,408,50,109,18,1,8,153,48,9,4,26,6,3,53,13,8,4,.267,.318,.375,.693,.311,73.5,1.72,,"7,500"
45,강동우,2001,삼,CF,125,403,347,54,87,15,2,6,124,42,6,1,49,3,0,44,9,2,1,.251,.348,.357,.705,.331,87.6,1.68,,"3,500"
46,김민재,2001,롯,SS,105,374,335,48,101,14,1,2,123,37,6,6,23,5,0,28,5,8,3,.301,.353,.367,.720,.331,87.5,1.63,,"7,600"
47,홍원기,2001,두,SS,84,284,242,34,64,13,1,6,97,42,1,0,29,5,1,39,4,6,2,.264,.353,.401,.753,.340,93.4,1.54,,"5,600"
48,백재호,2001,한,2B,88,255,217,18,60,7,0,6,85,25,2,0,35,1,0,43,7,1,1,.277,.378,.392,.770,.360,106.6,1.53,,"5,600"
49,장종훈,2001,한,1B,120,421,366,55,100,16,0,15,161,54,11,4,45,4,4,87,7,2,4,.273,.356,.440,.796,.356,104.3,1.47,,"13,000"
50,임재철,2001,롯,CF,114,270,216,37,58,14,1,3,83,26,10,2,27,12,0,41,4,10,5,.269,.373,.384,.757,.342,95.2,1.46,,"2,300"
51,김수연,2001,한,LF,129,446,392,65,114,10,3,0,130,20,42,16,47,2,1,67,3,4,1,.291,.369,.332,.700,.334,90.0,1.45,,"2,000"
52,김동수,2001,삼,C,89,217,181,18,50,11,0,5,76,30,0,0,22,4,0,23,5,6,4,.276,.360,.420,.780,.347,98.7,1.41,,"17,000"
53,강인권,2001,한,C,104,265,223,20,55,8,0,6,81,28,2,0,30,4,0,50,7,7,1,.247,.345,.363,.708,.325,84.0,1.32,,"3,000"
54,김창희,2001,해,CF,88,271,232,28,65,10,0,5,90,25,3,5,32,3,0,64,7,3,1,.280,.373,.388,.761,.354,102.7,1.31,,"4,900"
55,김대익,2001,롯,CF,130,458,404,55,115,24,2,5,158,33,9,10,33,1,0,75,8,16,4,.285,.337,.391,.728,.324,83.0,1.29,,"7,700"
57,박연수,2001,L,RF,70,114,94,14,31,6,1,3,48,29,1,1,19,1,0,23,2,0,0,.330,.447,.511,.958,.437,159.7,1.24,,"3,200"
58,조원우,2001,S,CF,111,363,307,43,75,15,1,7,113,39,7,3,42,4,2,48,2,6,4,.244,.339,.368,.707,.322,81.9,1.20,,"7,000"
60,박정태,2001,롯,2B,118,415,356,35,88,25,1,7,136,59,1,2,46,2,2,41,18,4,7,.247,.331,.382,.713,.323,82.5,1.14,,"16,500"
61,박종호,2001,현,2B,123,542,456,67,110,12,3,9,155,65,5,1,46,16,1,53,14,22,2,.241,.331,.340,.671,.304,69.9,1.02,,"13,500"
62,김상훈,2001,해,C,127,437,396,45,103,10,1,6,133,41,0,4,27,3,0,73,12,8,3,.260,.310,.336,.646,.297,65.3,0.99,,"2,400"
63,장원진,2001,두,LF,129,559,513,73,146,17,3,5,184,53,11,4,38,3,2,43,13,2,3,.285,.336,.359,.694,.323,81.6,0.95,,"10,200"
64,박정환,2001,삼,SS,84,249,217,30,57,8,3,5,86,36,0,2,20,2,0,48,10,8,2,.263,.328,.396,.724,.321,81.5,0.89,,"2,300"
65,조경택,2001,한,C,89,163,138,16,38,9,0,3,56,9,2,2,14,3,1,30,1,8,0,.275,.355,.406,.761,.333,89.4,0.87,,"4,500"
67,이진영,2001,S,LF,120,369,321,49,90,16,1,7,129,31,9,5,35,0,4,64,5,13,0,.280,.351,.402,.753,.332,88.3,0.84,,"3,600"
68,김종훈,2001,삼,LF,93,283,245,43,71,7,1,5,95,21,2,3,26,3,1,46,3,9,0,.290,.365,.388,.753,.340,94.0,0.77,,"6,000"
69,윤재국,2001,S,RF,109,356,300,40,83,10,2,10,127,38,11,4,31,0,1,57,4,22,3,.277,.341,.423,.765,.325,83.9,0.73,,"4,300"
70,최동수,2001,L,DH,94,173,147,17,43,9,0,6,70,31,1,1,19,3,2,22,3,2,2,.293,.380,.476,.856,.378,119.5,0.69,,"3,100"
71,조인성,2001,L,C,82,210,186,19,47,10,0,5,72,26,1,2,12,4,0,27,4,6,2,.253,.309,.387,.696,.309,72.2,0.66,,"5,700"
72,임주택,2001,한,CF,59,118,95,12,24,6,1,5,47,13,1,2,13,3,0,26,2,4,3,.253,.351,.495,.846,.359,106.1,0.66,,"4,500"
73,정성훈,2001,해,3B,49,179,161,17,45,7,1,4,66,18,6,4,12,1,0,18,5,4,1,.280,.331,.410,.741,.331,87.8,0.64,,"4,700"
74,최태원,2001,S,2B,133,382,318,40,77,14,0,5,106,31,13,5,38,6,0,36,5,17,3,.242,.332,.333,.665,.302,68.3,0.63,,"10,000"
75,권용관,2001,L,SS,106,212,184,31,45,8,3,1,62,20,4,0,13,8,0,43,5,6,1,.245,.320,.337,.657,.302,67.4,0.62,,"2,000"
76,최익성,2001,해,RF,60,176,143,24,36,8,1,4,58,9,6,1,18,8,2,25,7,6,1,.252,.365,.406,.770,.341,94.7,0.62,,"6,000"
78,서용빈,2001,L,1B,126,421,371,36,106,19,4,0,133,49,4,2,37,5,3,50,10,7,1,.286,.358,.358,.716,.331,87.1,0.57,,"7,000"
79,강석천,2001,한,3B,120,450,407,44,106,18,1,2,132,45,19,9,29,4,1,68,9,9,1,.260,.315,.324,.640,.296,65.5,0.55,,"10,000"
80,장일현,2001,해,,111,238,214,28,55,8,0,4,75,27,2,0,20,2,0,23,7,0,2,.257,.324,.350,.674,.315,77.6,0.54,,"3,500"
81,김민호,2001,두,SS,109,357,306,42,66,17,2,4,99,29,14,3,29,9,0,44,7,9,4,.216,.299,.324,.622,.285,56.2,0.53,,"9,500"
82,이도형,2001,두,C,40,93,86,6,22,7,1,2,37,13,0,0,5,2,0,16,4,0,0,.256,.312,.430,.742,.334,89.7,0.52,,"4,600"
83,정경배,2001,삼,2B,105,333,279,34,69,19,0,3,97,30,2,4,23,14,1,55,4,14,3,.247,.332,.348,.680,.306,72.0,0.48,,"8,000"
84,신경현,2001,한,C,23,45,40,5,13,5,0,0,18,6,0,0,5,0,0,12,0,0,0,.325,.400,.450,.850,.393,127.9,0.46,,"2,400"
85,전근표,2001,현,1B,71,165,142,20,37,6,0,6,61,19,0,0,20,0,0,39,1,1,2,.261,.348,.430,.777,.351,100.8,0.46,,"2,000"
86,이재주,2001,현,C,45,86,79,9,18,2,2,4,36,16,0,0,6,0,0,29,1,1,0,.228,.282,.456,.738,.320,80.1,0.40,,"4,000"
88,이계성,2001,롯,,109,335,292,38,71,18,2,4,105,35,6,4,31,0,0,57,3,8,4,.243,.312,.360,.672,.303,69.0,0.40,,"2,500"
89,이명수,2001,현,2B,91,190,153,19,38,6,0,1,47,19,1,2,29,0,0,20,8,7,1,.248,.366,.307,.673,.318,78.8,0.39,,"10,000"
91,김재걸,2001,삼,SS,70,153,138,18,36,5,1,1,46,9,6,4,10,1,0,38,1,3,1,.261,.313,.333,.647,.298,66.3,0.31,,"3,600"
92,채종범,2001,S,RF,117,460,396,54,101,15,0,8,140,38,6,9,46,7,2,49,8,10,0,.255,.343,.354,.697,.320,80.4,0.28,,"4,000"
94,손지환,2001,L,SS,96,211,188,25,47,8,1,5,72,22,2,4,12,1,0,29,3,9,1,.250,.297,.383,.680,.296,63.7,0.25,,"3,100"
95,강혁,2001,S,1B,57,224,202,25,51,10,0,7,82,39,0,2,21,1,2,25,4,0,0,.252,.326,.406,.732,.331,87.8,0.18,,"3,800"
96,정수성,2001,현,CF,33,16,15,7,4,0,0,1,7,1,7,1,1,0,0,3,0,0,0,.267,.313,.467,.779,.346,97.5,0.17,,"1,900"
97,김정민,2001,L,C,61,122,108,8,28,4,1,0,34,12,0,0,7,1,0,27,2,6,0,.259,.310,.315,.625,.282,54.1,0.17,,"6,800"
99,황성기,2001,해,C,34,43,40,6,9,1,0,2,16,4,0,0,2,1,0,10,2,0,0,.225,.279,.400,.679,.305,70.8,0.14,,"1,800"
101,장정석,2001,현,2B,46,38,33,5,10,4,0,0,14,3,0,0,2,0,0,9,0,1,2,.303,.324,.424,.749,.324,82.8,0.12,,"3,200"
102,강봉규,2001,두,RF,64,97,89,16,21,7,1,2,36,11,2,0,6,1,0,28,1,1,0,.236,.292,.404,.696,.311,73.4,0.12,,"2,000"
103,허준,2001,한,SS,89,263,224,19,53,9,1,3,73,28,9,5,21,1,1,14,4,14,3,.237,.301,.326,.627,.276,53.2,0.10,,"4,200"
104,심성보,2001,L,LF,97,247,219,21,61,11,0,2,78,34,3,2,19,0,1,39,1,6,3,.279,.332,.356,.688,.312,74.4,0.10,,"4,000"
105,박계원,2001,S,SS,48,22,20,15,5,1,0,0,6,2,7,2,2,0,0,7,1,0,0,.250,.318,.300,.618,.297,65.4,0.09,,"4,500"
106,조승현,2001,현,,12,19,18,3,5,0,0,1,8,1,0,0,1,0,0,4,0,0,0,.278,.316,.444,.760,.341,94.3,0.08,,"2,000"
107,이호성,2001,해,RF,9,17,16,2,4,2,0,1,9,1,0,0,1,0,0,3,1,0,0,.250,.294,.563,.857,.366,110.8,0.08,,"8,500"
108,강규철,2001,두,,8,10,10,2,3,0,0,1,6,3,0,0,0,0,0,2,0,0,0,.300,.300,.600,.900,.385,124.2,0.08,,"2,000"
109,박종일,2001,롯,,37,24,23,8,7,3,0,0,10,4,0,1,1,0,0,4,0,0,0,.304,.333,.435,.768,.349,99.8,0.08,,"3,500"
114,송진우,2001,한,P,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,.944,480.6,0.05,,"13,500"
115,황우구,2001,한,SS,101,240,200,18,39,9,1,1,53,20,3,1,27,5,0,35,6,5,3,.195,.302,.265,.567,.272,50.6,0.05,,"2,700"
116,김진삼,2001,한,,8,9,9,1,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,.315,77.8,0.04,,"1,500"
117,정영규,2001,해,1B,55,75,63,7,12,5,0,2,23,8,1,0,11,1,0,18,2,0,0,.190,.320,.365,.685,.320,80.3,0.04,,"3,300"
118,정원석,2001,두,2B,13,21,18,2,3,1,0,1,7,2,0,0,1,2,0,7,1,0,0,.167,.286,.389,.675,.308,71.6,0.03,,"2,000"
119,김진수,2001,롯,C,22,21,19,3,4,0,1,0,6,2,0,0,2,0,0,6,1,0,0,.211,.286,.316,.602,.281,54.5,0.03,,"1,800"
120,추성건,2001,S,RF,23,39,34,6,8,1,0,1,12,7,1,0,4,0,0,8,0,0,1,.235,.308,.353,.661,.304,70.0,0.03,,"3,800"
121,조효상,2001,한,,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.02,,"2,300"
122,김태형,2001,두,C,6,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.333,.333,.333,.667,.315,76.3,0.01,,"5,100"
123,신주일,2001,S,,5,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.000,.500,.000,.500,.369,112.9,0.01,,"2,200"
125,조재영,2001,L,,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,.738,,0.01,,"1,900"
126,강필선,2001,현,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,,"2,000"
,엄정대,2001,롯,,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,,"2,000"
,조병찬,2001,S,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,,"1,900"
,이상목,2001,한,P,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,,"6,000"
130,김수관,2001,삼,,41,37,32,4,8,2,0,0,10,1,1,0,3,0,0,4,1,2,0,.250,.314,.313,.627,.283,56.5,0.00,,"2,400"
