No,Name,Year,Team,Position,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,WPA,Salary
,이경태,1997,쌍,,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-123.7,-0.07,,"1,800"
184,김정규,1997,O,,14,42,39,4,10,1,0,0,11,2,0,0,0,1,0,8,1,2,0,.256,.275,.282,.557,.249,46.7,-0.07,,"1,900"
185,정호진,1997,롯,C,19,32,26,4,3,1,0,0,4,2,0,0,3,2,0,3,2,1,0,.115,.258,.154,.412,.212,24.4,-0.07,,"1,900"
186,장용대,1997,현,,12,18,17,1,3,1,0,0,4,0,0,0,1,0,0,7,1,0,0,.176,.222,.235,.458,.216,24.9,-0.08,,"2,400"
190,김선진,1997,L,,45,99,83,11,15,2,0,1,20,3,6,1,12,0,1,18,0,4,0,.181,.284,.241,.525,.242,41.5,-0.10,,"4,600"
191,권용관,1997,L,,37,60,54,7,12,0,0,1,15,6,0,1,2,2,0,10,0,2,0,.222,.276,.278,.554,.254,50.2,-0.10,,"2,000"
192,송재익,1997,삼,,27,20,20,2,3,0,0,1,6,2,0,0,0,0,0,7,1,0,0,.150,.150,.300,.450,.197,15.0,-0.11,,"2,000"
193,이동욱,1997,롯,,11,13,12,0,1,1,0,0,2,0,0,0,1,0,0,5,0,0,0,.083,.154,.167,.321,.155,-14.1,-0.12,,"2,000"
195,조유신,1997,롯,3B,45,81,67,9,14,2,0,0,16,2,0,0,8,0,0,18,1,6,0,.209,.293,.239,.532,.241,43.8,-0.13,,"2,000"
197,나광호,1997,롯,,8,14,14,1,1,0,0,1,4,1,0,0,0,0,0,5,0,0,0,.071,.071,.286,.357,.148,-19.1,-0.13,,"1,200"
198,김동현,1997,현,,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,.000,.000,.000,.000,.000,-125.1,-0.13,,"2,200"
199,김승관,1997,삼,2B,17,19,17,1,2,0,0,0,2,1,0,0,2,0,0,6,1,0,0,.118,.211,.118,.328,.173,-0.9,-0.14,,"2,000"
201,김정윤,1997,한,,17,8,8,1,1,0,0,0,1,0,0,1,0,0,0,6,0,0,0,.125,.125,.125,.250,.117,-41.9,-0.14,,"1,800"
203,안상준,1997,해,3B,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,-120.4,-0.15,,"2,200"
204,임노병,1997,L,1B,9,15,15,1,2,1,0,0,3,0,0,0,0,0,0,9,0,0,0,.133,.133,.200,.333,.149,-24.5,-0.18,,"1,500"
207,하춘동,1997,삼,,30,37,32,6,4,0,0,0,4,1,0,1,2,3,0,7,0,0,0,.125,.243,.125,.368,.199,16.8,-0.23,,"2,000"
208,허유신,1997,현,,26,51,46,2,9,1,0,0,10,6,2,1,3,0,0,12,2,2,0,.196,.245,.217,.462,.214,23.6,-0.23,,"2,000"
209,이경복,1997,해,,27,41,38,2,6,1,0,0,7,7,0,0,3,0,0,5,2,0,0,.158,.220,.184,.404,.198,14.2,-0.24,,"3,600"
210,배정훈,1997,롯,C,59,114,108,8,19,2,0,2,27,7,0,0,5,0,0,23,2,1,0,.176,.212,.250,.462,.213,25.2,-0.25,,"2,000"
213,장석희,1997,해,,19,27,26,1,3,1,0,0,4,0,0,0,0,1,0,9,0,0,0,.115,.148,.154,.302,.145,-21.7,-0.27,,"2,000"
214,이영우,1997,한,LF,31,117,109,12,22,6,0,3,37,12,2,3,6,0,0,20,7,1,1,.202,.241,.339,.581,.260,56.4,-0.28,,"3,900"
217,강규철,1997,O,,36,39,36,4,6,0,0,0,6,0,0,1,1,1,0,5,1,1,0,.167,.211,.167,.377,.181,-1.6,-0.33,,"2,000"
219,이지환,1997,롯,1B,44,94,85,9,16,6,0,2,28,8,0,1,3,3,0,21,4,2,1,.188,.239,.329,.569,.253,52.2,-0.34,,"2,000"
221,염경엽,1997,현,SS,56,13,12,9,0,0,0,0,0,0,2,4,0,0,0,2,0,1,0,.000,.000,.000,.000,.000,-125.1,-0.40,,"4,100"
222,박준태,1997,L,LF,113,234,199,24,44,7,1,3,62,23,5,2,16,1,0,33,2,15,3,.221,.279,.312,.590,.256,51.7,-0.44,,"3,800"
223,이봉우,1997,쌍,,89,80,76,10,11,3,0,2,20,4,5,0,1,0,0,13,1,3,0,.145,.156,.263,.419,.180,0.4,-0.45,,"2,000"
224,임수민,1997,한,2B,98,224,202,12,44,5,0,3,58,21,0,2,11,0,0,42,8,9,2,.218,.256,.287,.543,.242,43.8,-0.47,,"3,100"
225,장정석,1997,현,LF,80,117,103,11,22,4,0,0,26,7,3,2,6,1,0,23,1,7,0,.214,.264,.252,.516,.231,35.6,-0.49,,"2,800"
227,안명성,1997,현,,54,53,46,7,6,0,0,0,6,0,2,2,3,0,0,12,2,4,0,.130,.184,.130,.314,.146,-23.6,-0.57,,"2,500"
228,김영일,1997,롯,LF,74,162,142,11,28,1,2,0,33,8,6,4,9,5,0,24,4,6,0,.197,.269,.232,.502,.235,39.8,-0.59,,"2,200"
229,허준,1997,한,SS,114,291,259,24,58,6,0,1,67,14,3,5,12,1,0,32,5,18,1,.224,.260,.259,.519,.229,35.4,-0.64,,"3,650"
231,박진만,1997,현,SS,112,398,351,29,65,11,0,5,91,29,7,5,20,8,1,62,6,18,1,.185,.245,.259,.504,.226,32.3,-0.87,,"4,000"
